城市,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
广州市,368.0,452.0,564.0,732.0,900.0,1060.0,1263.0,1525.0,1810.0,2171.0,2594.0,3130.0,3698.0,4406.0,5739.0,7434,9544,12584,17476,22943,32338,55438,68429,85202,101538,117820,134102,150384,166666,182948,199230
庆阳市,1.0,2.0,2.0,4.0,4.0,7.0,7.0,11.0,11.0,12.0,13.0,14.0,18.0,27.0,49.0,80,109,135,184,208,253,375,530,755,980,1205,1430,1655,1880,2105,2330
廊坊市,6.0,6.0,6.0,13.0,15.0,19.0,24.0,26.0,29.0,37.0,43.0,47.0,59.0,68.0,91.0,123,165,210,273,360,492,667,1014,1853,2685,3520,4355,5190,6025,6860,7695
延安市,2.0,3.0,4.0,4.0,5.0,8.0,10.0,12.0,13.0,15.0,20.0,24.0,31.0,33.0,52.0,70,97,121,168,217,318,492,633,841,1038,1239,1439,1640,1840,2041,2241
开封市,1.0,2.0,3.0,4.0,4.0,4.0,5.0,8.0,11.0,13.0,14.0,14.0,16.0,20.0,35.0,56,87,126,174,246,373,673,981,1362,1742,2122,2502,2882,3262,3642,4022
张家口市,2.0,2.0,3.0,3.0,3.0,7.0,9.0,11.0,11.0,13.0,14.0,17.0,20.0,24.0,36.0,53,73,112,165,219,285,400,614,1113,1608,2105,2601,3098,3595,4091,4588
张家界市,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,11.0,14.0,17.0,22.0,25,27,35,46,61,92,128,200,296,392,488,584,680,776,872,968
张掖市,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,8.0,9.0,10.0,13.0,16.0,18.0,39.0,61,81,113,144,169,192,285,397,547,697,847,997,1147,1297,1447,1597
徐州市,21.0,25.0,28.0,30.0,38.0,49.0,66.0,77.0,97.0,119.0,139.0,173.0,204.0,253.0,337.0,433,573,754,971,1273,2964,4739,5982,7586,9174,10764,12354,13944,15534,17124,18714
德州市,8.0,9.0,10.0,11.0,12.0,15.0,19.0,20.0,22.0,29.0,37.0,54.0,59.0,72.0,100.0,146,207,294,399,564,916,1582,2218,2878,3538,4197,4857,5516,6176,6836,7495
德阳市,9.0,13.0,14.0,14.0,16.0,17.0,20.0,22.0,25.0,29.0,33.0,34.0,44.0,56.0,79.0,99,115,145,185,254,361,545,746,956,1166,1376,1586,1796,2006,2216,2426
忻州市,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,19.0,27,41,52,65,94,129,232,356,476,596,716,836,956,1076,1196,1316
怀化市,1.0,1.0,1.0,3.0,3.0,5.0,6.0,6.0,7.0,10.0,11.0,14.0,18.0,20.0,26.0,39,55,67,90,131,178,276,411,630,849,1068,1287,1506,1725,1944,2163
惠州市,9.0,14.0,20.0,26.0,34.0,38.0,56.0,68.0,78.0,101.0,120.0,140.0,163.0,202.0,271.0,341,454,618,815,1125,1815,3404,4859,6258,7657,9056,10455,11854,13253,14652,16051
