城市,教育支出_z,科技支出_z,注销_z,风险评分,聚类类别,动态预警,风险评分增长率,注销增长率,最新风险评分,残差,风险等级
台州市,-2.713878504639272e-16,-9.868649107779169e-17,9.868649107779169e-17,9.868649107779169e-17,1,无预警,-0.08319400987211079,0.022222222222222143,0.9901489708297833,-4.736951571734001e-15,低风险
嘉兴市,-2.713878504639272e-16,1.4802973661668753e-16,-7.401486830834377e-17,-4.9343245538895844e-17,1,无预警,0.7240849189342002,0.37872340425531914,1.1881615523950413,-1.8947806286936004e-14,低风险
许昌市,4.9343245538895844e-17,4.9343245538895844e-17,0.0,0.0,1,无预警,1.544691667474623,0.8461538461538463,1.6477399231367678,-2.7632217501781674e-15,中风险
衢州市,3.4540271877227093e-16,-9.868649107779169e-17,9.868649107779169e-17,2.4671622769447922e-17,0,黄色预警,1.4517848666426993,0.7346938775510203,1.4531636372415226,1.578983857244667e-15,中风险
襄阳市,-5.181040781584064e-16,-1.9737298215558337e-16,-4.9343245538895844e-17,0.0,2,黄色预警,0.9824320635524884,0.797979797979798,1.8729825142117655,-7.894919286223336e-15,中风险
西宁市,-2.4671622769447924e-16,-4.194175870806147e-16,0.0,4.9343245538895844e-17,1,黄色预警,0.9539319567482156,0.9240506329113924,1.6798946684015006,3.157967714489334e-15,中风险
克拉玛依市,7.894919286223335e-16,3.4540271877227093e-16,-9.868649107779169e-17,-1.7270135938613546e-16,0,无预警,1.4531840241860934,0.875,1.3966632089062394,-3.157967714489334e-15,中风险
贺州市,4.194175870806147e-16,4.9343245538895844e-17,0.0,-4.9343245538895844e-17,0,黄色预警,0.9347259619266122,0.4444444444444444,1.468248851999886,-6.315935428978668e-15,中风险
贵阳市,1.2335811384723962e-16,-1.4802973661668753e-16,0.0,2.4671622769447922e-17,1,黄色预警,1.752012703460684,0.8235294117647058,1.8697538736268422,8.68441121484567e-15,中风险
保定市,9.868649107779169e-17,-9.868649107779169e-17,0.0,4.9343245538895844e-17,1,无预警,1.1202365693908436,0.7327188940092166,1.5482714215873576,0.0,中风险
信阳市,-1.9737298215558337e-16,7.401486830834377e-17,0.0,4.9343245538895844e-17,1,橙色预警,2.048895294937202,1.0208333333333335,1.737987888196621,-5.526443500356335e-15,中风险
赣州市,-4.9343245538895844e-17,1.4802973661668753e-16,-4.9343245538895844e-17,-4.9343245538895844e-17,1,黄色预警,1.1290400073490745,0.5990099009900991,1.5322708199389692,0.0,中风险
赤峰市,-5.921189464667501e-16,9.868649107779169e-17,0.0,2.4671622769447922e-17,2,橙色预警,2.6152653974913584,1.2608695652173911,1.6637374208161217,-7.894919286223335e-16,中风险
六安市,-3.9474596431116675e-16,0.0,0.0,2.4671622769447922e-17,1,橙色预警,2.1600865410255325,1.3424657534246576,1.820091215686534,-9.473903143468002e-15,中风险
佛山市,4.9343245538895844e-17,-7.401486830834377e-17,0.0,-2.4671622769447922e-17,1,无预警,2.276125421844174,0.981958762886598,1.861002157070369,1.8947806286936004e-14,中风险
保山市,-1.356939252319636e-16,-1.4802973661668753e-16,0.0,4.9343245538895844e-17,1,无预警,0.38703190098812956,0.3142857142857143,1.7816029672373077,-2.3684757858670005e-15,中风险
